12/29/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		648		304		219		278		409		0		0		
	2		648		304		223		281		523		0		0		
	3		649		306		224		279		532		0		0		
	4		649		306		223		280		478		0		0		
	5		650		304		223		279		576		0		0		
	6		650		310		223		288		494		0		0		
	7		651		323		223		287		546		0		0		
	8		651		308		223		286		497		1172		0		
	9		651		311		223		252		446		3605		98		
	10		650		310		222		227		414		4941		262		
	11		648		311		221		225		385		5335		258		
	12		647		311		222		222		299		6002		219		
	13		646		312		222		220		270		6087		208		
	14		644		313		220		216		338		5306		27		
	15		644		315		220		212		336		4198		18		
	16		645		313		223		283		374		1726		0		
	17		647		309		225		335		456		151		0		
	18		647		310		225		386		373		0		0		
	19		648		311		225		353		291		0		0		
	20		649		309		227		348		481		0		0		
	21		649		308		227		346		717		0		0		
	22		649		314		227		328		815		0		0		
	23		649		296		227		307		749		0		0		
	24		650		290		227		281		627		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1823		2272		8398		7235		2094						
	2		1942		2273		7772		6885		2117						
	3		1952		2274		7832		6558		1870						
	4		1897		2274		7862		6225		1997						
	5		1991		2272		7780		6317		1937						
	6		1925		2272		7735		6785		2044						
	7		2004		2272		7938		7178		2205						
	8		3136		2274		7745		6742		2063						
	9		5586		2275		6791		5604		1761						
	10		7025		2276		5852		5190		1487						
	11		7384		2274		5644		4890		1273						
	12		7921		2276		5481		4491		1066						
	13		7964		2275		5876		4639		944						
	14		7064		2274		5937		5061		1313						
	15		5943		2274		6598		5738		1646						
	16		3564		2274		7903		7093		2262						
	17		2122		2273		8902		8571		2880						
	18		1928		2273		9924		9826		3184						
	19		1814		2272		9602		10141		3509						
	20		1998		2272		9401		10069		3275						
	21		2232		2273		9330		9460		3110						
	22		2318		2274		9396		8669		2812						
	23		2218		2273		9198		7707		2492						
	24		2061		2273		8867		6950		2079						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
