01/23/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		850		322		212		181		566		0		0		
	2		852		324		212		144		796		0		0		
	3		854		324		213		141		931		0		0		
	4		860		329		213		142		953		0		0		
	5		861		332		213		186		840		0		0		
	6		861		332		213		186		689		0		0		
	7		860		342		212		196		663		0		0		
	8		857		345		212		230		589		1567		0		
	9		855		339		208		231		417		4676		51		
	10		853		334		205		191		440		6145		133		
	11		848		329		205		176		460		5940		236		
	12		846		313		200		175		345		7174		248		
	13		846		321		198		175		417		6649		245		
	14		844		322		202		182		376		7339		245		
	15		841		319		210		181		366		7218		214		
	16		832		324		213		202		320		5502		116		
	17		846		342		213		264		167		1549		22		
	18		896		337		214		256		249		0		0		
	19		897		337		214		261		341		0		0		
	20		896		338		220		261		379		0		0		
	21		897		350		219		223		317		0		0		
	22		894		367		219		190		316		0		0		
	23		888		358		219		187		404		0		0		
	24		889		351		219		185		434		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2097		2269		7869		8444		722						
	2		2293		2269		7292		8285		640						
	3		2426		2270		7037		8009		597						
	4		2460		2269		6886		8149		572						
	5		2395		2269		7529		8110		643						
	6		2243		2270		7806		9027		1122						
	7		2257		2271		9144		8948		2304						
	8		3801		2270		9585		8473		2035						
	9		6777		2271		8387		6554		1471						
	10		8301		2271		7846		5122		855						
	11		8194		2271		7246		4967		814						
	12		9301		2270		7057		4210		395						
	13		8852		2269		7218		4171		454						
	14		9510		2269		6936		4587		259						
	15		9349		2269		6666		4769		506						
	16		7509		2270		7190		6012		898						
	17		3402		2268		9315		7996		2161						
	18		1926		2269		10320		9547		3035						
	19		2014		2269		10604		9744		3051						
	20		2057		2269		10441		9524		2917						
	21		1970		2270		10157		9385		2656						
	22		1950		2271		9710		9337		1951						
	23		2017		2273		9203		8656		1438						
	24		2040		2272		8506		7950		1158						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
