10/08/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		944		221		231		278		2478		0		0		
	2		946		223		230		272		2745		0		0		
	3		940		221		229		272		3069		0		0		
	4		932		224		230		273		2887		0		0		
	5		919		225		229		273		2364		0		0		
	6		930		231		217		284		2002		0		0		
	7		930		246		217		305		1945		0		0		
	8		903		247		209		287		1807		1799		22		
	9		925		248		205		272		1520		6583		239		
	10		907		262		204		242		1267		9135		442		
	11		879		264		203		236		960		9666		473		
	12		892		263		203		234		1045		9645		473		
	13		911		289		198		234		1226		9728		468		
	14		909		306		205		277		1476		9667		464		
	15		902		308		205		269		1998		9598		432		
	16		905		321		208		256		2732		9185		436		
	17		899		325		207		241		3197		7450		366		
	18		904		325		212		242		3562		2975		162		
	19		902		320		223		239		3717		135		0		
	20		900		313		224		230		3940		0		0		
	21		900		306		224		209		4227		0		0		
	22		903		295		224		212		4021		0		0		
	23		908		263		224		207		3659		0		0		
	24		915		251		224		203		3545		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4115		1135		8272		6550		2443						
	2		4379		1134		7009		6391		2349						
	3		4696		1135		6317		6287		2178						
	4		4509		1136		6284		6302		2147						
	5		3972		1136		6952		6300		2326						
	6		3627		1138		7881		6601		2643						
	7		3623		1139		8322		8053		3114						
	8		5276		1139		8273		7493		3064						
	9		9992		1138		6226		5491		2360						
	10		12459		1137		5444		3977		2006						
	11		12681		1137		5569		3836		1900						
	12		12756		1136		5878		3752		1867						
	13		13054		1135		5693		4125		1895						
	14		13304		1134		6117		4459		1986						
	15		13712		1135		6791		4344		2052						
	16		14043		1134		7247		4522		2356						
	17		12684		1135		8755		4973		2655						
	18		8381		1135		11059		7295		2902						
	19		5537		1136		12490		8660		3206						
	20		5568		1137		12249		8902		3193						
	21		5827		1137		11397		8268		3061						
	22		5616		1136		10470		7759		2996						
	23		5221		1136		9716		6900		2681						
	24		5098		1136		8421		6450		2500						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
