03/09/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		890		254		201		107		1383		0		0		
	2		890		252		202		104		1310		0		0		
	3		890		252		202		104		1274		0		0		
	4		891		253		201		104		1350		0		0		
	5		890		258		201		143		1308		0		0		
	6		890		265		200		146		1119		0		0		
	7		890		275		200		149		1071		0		0		
	8		889		275		201		154		1025		737		0		
	9		886		272		197		154		685		3884		0		
	10		885		257		196		148		305		6648		8		
	11		879		251		198		148		239		7945		153		
	12		873		247		198		145		262		8138		122		
	13		908		247		198		111		249		8514		251		
	14		919		247		199		108		300		8077		139		
	15		884		249		201		107		274		7119		32		
	16		872		250		201		106		290		5951		0		
	17		873		267		201		142		344		3892		0		
	18		874		267		202		147		391		1545		0		
	19		875		268		201		151		605		167		0		
	20		874		266		200		197		764		0		0		
	21		881		264		197		162		953		0		0		
	22		885		264		200		156		1008		0		0		
	23		886		241		200		150		956		0		0		
	24		882		233		200		148		720		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2804		2253		8532		6716		440						
	2		2726		2252		8426		6279		394						
	3		2691		2251		8382		6020		395						
	4		2766		2252		8401		5927		377						
	5		2768		2252		8502		6475		351						
	6		2588		2253		8891		7055		810						
	7		2554		2253		10090		7556		1685						
	8		3280		2254		10982		7368		2032						
	9		6077		2255		9754		5938		1701						
	10		8447		2255		8365		4663		997						
	11		9813		2254		6915		3820		854						
	12		9986		2253		6352		3369		703						
	13		10477		2252		6128		2544		547						
	14		9989		2250		6662		2868		302						
	15		8866		2248		7003		3781		419						
	16		7671		2247		7632		5158		434						
	17		5718		2246		8668		6141		1120						
	18		3427		2246		9935		7319		1972						
	19		2266		2247		10751		8295		2520						
	20		2271		2248		11721		8465		2669						
	21		2427		2249		11334		8363		2520						
	22		2482		2249		10638		8164		2208						
	23		2401		2249		10195		7480		1714						
	24		2152		2250		9515		6838		1630						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
