10/04/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		964		239		236		312		3560		0		0		
	2		971		239		232		311		3378		0		0		
	3		960		241		234		313		3267		0		0		
	4		969		239		237		313		2962		0		0		
	5		946		242		237		312		2564		0		0		
	6		961		249		235		312		2085		0		0		
	7		943		266		235		317		1916		0		0		
	8		906		264		233		313		1941		2004		48		
	9		936		266		235		310		2003		6730		309		
	10		880		264		235		288		2268		9068		459		
	11		907		265		236		289		2684		9992		471		
	12		969		265		234		290		2770		10112		476		
	13		974		263		234		287		2833		10292		471		
	14		974		266		237		286		2578		10143		468		
	15		968		265		238		283		2568		10278		478		
	16		970		265		237		282		2369		9695		474		
	17		977		269		233		302		2488		8211		410		
	18		981		266		233		328		2518		3653		212		
	19		972		269		233		330		2417		256		0		
	20		955		270		232		328		2514		0		0		
	21		933		266		232		304		2633		0		0		
	22		900		263		231		302		2626		0		0		
	23		934		236		231		302		2565		0		0		
	24		939		220		231		301		2196		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5272		1138		7484		5232		2378						
	2		5094		1138		6627		5427		2351						
	3		4976		1137		6202		5440		2185						
	4		4680		1138		5686		6122		2271						
	5		4260		1138		5973		6501		2388						
	6		3800		1137		7020		6883		2757						
	7		3667		1137		7781		8046		3179						
	8		5710		1137		7724		7081		3052						
	9		10790		1136		5886		5267		1726						
	10		13463		1136		4797		4095		1190						
	11		14844		1136		3966		3042		1245						
	12		15115		1135		3644		3054		1100						
	13		15354		1135		3666		2784		1120						
	14		14952		1136		3659		3450		1294						
	15		15078		1136		3963		3653		1232						
	16		14293		1137		4951		3675		1473						
	17		12889		1136		6190		3944		1889						
	18		8191		1136		8415		5803		3172						
	19		4478		1136		10626		7654		3463						
	20		4261		1136		10877		7921		3653						
	21		4328		1136		9778		8309		3423						
	22		4282		1136		9562		7701		3244						
	23		4228		1137		9472		6658		2918						
	24		3845		1138		9022		6105		2624						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
