02/11/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		868		311		221		176		612		0		0		
	2		870		311		221		175		612		0		0		
	3		870		313		222		174		612		0		0		
	4		870		315		222		174		612		0		0		
	5		854		315		220		175		612		0		0		
	6		851		324		218		188		612		0		0		
	7		851		316		219		224		612		54		0		
	8		851		314		216		222		612		2530		24		
	9		847		317		218		177		612		7067		189		
	10		845		297		217		171		612		8768		210		
	11		841		294		217		164		612		8937		211		
	12		842		295		215		130		612		8865		212		
	13		853		301		215		133		612		9146		213		
	14		856		300		215		150		612		9240		213		
	15		856		297		215		187		612		9074		209		
	16		857		303		215		192		612		8043		185		
	17		859		293		212		216		612		3675		82		
	18		862		285		211		254		612		154		0		
	19		879		289		209		255		612		0		0		
	20		880		300		220		254		612		0		0		
	21		879		311		220		222		612		0		0		
	22		880		321		220		185		612		0		0		
	23		881		321		219		179		612		0		0		
	24		885		319		220		181		612		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2151		2274		8201		8617		737						
	2		2152		2274		7778		8414		694						
	3		2154		2275		7716		8156		670						
	4		2156		2275		7816		8068		663						
	5		2137		2274		8240		8245		764						
	6		2155		2274		8783		8647		1252						
	7		2276		2273		9533		9387		2053						
	8		4769		2274		8755		8704		1798						
	9		9427		2274		6831		5662		1002						
	10		11120		2274		5654		5024		297						
	11		11276		2275		4745		4679		275						
	12		11172		2275		4653		4173		355						
	13		11473		2275		4342		3909		386						
	14		11585		2273		4058		4190		485						
	15		11450		2274		4304		4369		523						
	16		10407		2271		4932		5376		781						
	17		5949		2272		7446		7806		1421						
	18		2377		2273		10349		9376		2554						
	19		2209		2274		11454		9765		2559						
	20		2232		2273		11386		9546		2370						
	21		2211		2274		11350		8984		2200						
	22		2184		2274		11011		8804		1632						
	23		2177		2274		10242		8210		1242						
	24		2181		2275		8609		8363		1168						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
