02/26/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		823		339		211		173		612		0		0		
	2		823		339		212		173		612		0		0		
	3		823		340		211		172		612		0		0		
	4		823		343		212		173		612		0		0		
	5		819		341		211		173		612		0		0		
	6		807		344		211		186		612		0		0		
	7		809		344		211		189		612		385		0		
	8		809		345		209		194		612		4532		65		
	9		803		348		200		195		612		8766		223		
	10		800		340		199		183		612		10139		235		
	11		798		334		199		183		614		10123		324		
	12		794		335		202		183		628		10237		255		
	13		792		339		201		184		632		10092		333		
	14		790		337		200		185		596		10078		360		
	15		788		336		201		184		526		9560		362		
	16		787		337		202		184		434		8766		364		
	17		789		349		203		201		501		4939		290		
	18		802		346		204		219		647		558		79		
	19		807		349		202		258		728		26		55		
	20		810		349		209		224		798		27		56		
	21		811		345		194		209		801		27		56		
	22		812		343		180		188		788		0		0		
	23		811		332		180		186		803		0		0		
	24		813		328		190		181		780		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2121		2266		7986		7255		1085						
	2		2122		2267		7433		7166		989						
	3		2122		2266		7220		7033		915						
	4		2124		2266		7296		6822		945						
	5		2116		2265		7470		7214		1023						
	6		2118		2265		8167		7922		1359						
	7		2549		2265		8759		8776		1857						
	8		6766		2265		7089		7183		1369						
	9		11147		2265		4857		4451		915						
	10		12508		2264		4069		3413		597						
	11		12391		2263		3462		3494		591						
	12		12634		2263		3047		3627		503						
	13		12574		2263		3186		3986		272						
	14		12546		2263		3430		4245		339						
	15		11956		2262		3678		4728		627						
	16		11073		2263		4546		5231		777						
	17		7271		2263		6715		6943		1751						
	18		2855		2263		9800		8778		2847						
	19		2425		2263		11555		8657		2782						
	20		2472		2263		10848		8946		2639						
	21		2442		2263		10285		8802		2544						
	22		2282		2264		9674		9004		1915						
	23		2276		2265		8728		8505		1499						
	24		2255		2266		7739		8125		1265						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
