05/19/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		896		259		203		357		3889		0		0		
	2		899		264		204		362		3791		0		0		
	3		900		268		200		360		3613		0		0		
	4		899		277		203		359		3632		0		0		
	5		906		277		203		353		3448		0		0		
	6		912		279		201		352		3372		2		0		
	7		915		279		202		359		2875		1766		61		
	8		913		279		203		355		2277		5652		207		
	9		907		282		199		351		2016		8254		245		
	10		906		269		201		348		2185		8381		256		
	11		905		262		206		345		2265		7886		333		
	12		910		263		202		340		2724		7967		375		
	13		924		266		205		335		2829		8427		371		
	14		950		259		212		341		3300		8039		373		
	15		952		272		220		333		3390		7164		372		
	16		877		271		220		319		3519		6717		330		
	17		928		283		219		329		3845		6903		236		
	18		954		284		219		330		3728		6713		230		
	19		953		287		219		333		3847		3962		150		
	20		955		279		219		340		3763		638		4		
	21		958		278		219		338		3724		0		0		
	22		959		272		218		337		4055		0		0		
	23		960		281		218		326		4144		0		0		
	24		961		276		219		323		4675		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5583		2273		2830		7688		2344						
	2		5500		2272		2644		7685		1948						
	3		5320		2274		2486		7592		1857						
	4		5348		2275		2312		7506		1821						
	5		5164		2276		2267		7813		2011						
	6		5118		2276		2368		8481		2088						
	7		6457		2273		2596		7382		2275						
	8		9885		2270		2698		4521		1891						
	9		12255		2271		2871		2198		1578						
	10		12548		2272		2795		1681		1409						
	11		12202		2273		2750		1520		1592						
	12		12781		2273		2483		968		1654						
	13		13358		2274		2376		494		1644						
	14		13475		2275		2057		937		1380						
	15		12702		2276		2201		1252		1448						
	16		12253		2277		2347		1838		1452						
	17		12743		2273		2750		1437		1859						
	18		12460		2269		2873		2862		1982						
	19		9752		2270		3450		5950		2449						
	20		6199		2272		3935		9481		2874						
	21		5512		2274		4277		10137		3213						
	22		5832		2274		3779		9828		3085						
	23		5918		2278		3465		9186		2656						
	24		6442		2279		2557		8467		2291						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
