05/26/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		918		332		196		345		1947		0		0		
	2		920		329		196		326		2096		0		0		
	3		923		330		197		324		2096		0		0		
	4		924		326		198		324		1951		0		0		
	5		924		328		195		343		1682		0		0		
	6		922		326		198		345		1458		0		0		
	7		920		330		197		351		1274		2043		77		
	8		915		329		197		350		830		6659		296		
	9		911		330		212		317		409		9316		373		
	10		903		311		219		317		197		10351		374		
	11		896		301		218		322		114		10944		377		
	12		891		307		218		322		137		11188		378		
	13		890		301		211		345		150		11249		377		
	14		890		301		200		358		212		11235		377		
	15		890		310		206		360		295		11057		376		
	16		874		308		201		366		417		10553		368		
	17		885		325		209		373		837		9545		362		
	18		891		327		207		375		1336		7994		339		
	19		893		332		208		380		1629		4327		232		
	20		895		329		212		398		1788		702		21		
	21		899		327		212		399		2318		0		0		
	22		908		328		212		379		2671		0		0		
	23		910		322		212		366		2671		0		0		
	24		913		323		212		366		2923		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3701		2275		5627		9213		2599						
	2		3831		2276		4173		9399		2484						
	3		3834		2273		3630		9430		2151						
	4		3685		2274		3468		9330		2188						
	5		3432		2275		3335		9688		2358						
	6		3246		2275		3890		9878		2523						
	7		5192		2275		3569		9424		2259						
	8		9576		2275		3025		6921		1982						
	9		11868		2274		3546		4893		1928						
	10		12673		2275		3863		4420		1931						
	11		13172		2274		4170		4595		2025						
	12		13441		2273		4873		4998		2073						
	13		13523		2273		6186		5244		2208						
	14		13573		2273		7643		5659		2310						
	15		13495		2270		9074		6011		2546						
	16		13088		2270		10968		5614		3226						
	17		12538		2271		12057		5688		3921						
	18		11469		2272		13334		6222		4106						
	19		8001		2272		15704		7200		4517						
	20		4344		2272		17326		8355		4523						
	21		4117		2272		16581		8533		4125						
	22		4460		2269		14531		8727		3748						
	23		4443		2272		11453		9404		3292						
	24		4698		2272		8916		9309		2806						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
