05/13/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		884		298		211		325		3570		0		0		
	2		884		300		211		322		3726		0		0		
	3		884		301		211		322		3865		0		0		
	4		886		303		212		319		3937		0		0		
	5		888		302		212		326		3768		0		0		
	6		888		301		211		334		3673		0		0		
	7		881		304		211		335		3768		1498		20		
	8		865		305		211		333		3718		5674		195		
	9		860		307		198		325		3475		8428		323		
	10		864		294		196		321		3412		8797		360		
	11		864		285		188		322		3575		8600		374		
	12		860		289		195		323		3700		9055		378		
	13		857		294		198		325		3781		9170		378		
	14		863		296		198		323		3733		9592		378		
	15		859		298		197		325		4299		9512		376		
	16		860		299		197		328		4396		9179		369		
	17		859		315		201		333		4244		9105		350		
	18		859		315		210		331		4323		8023		312		
	19		869		314		211		332		4002		4220		188		
	20		879		312		213		338		3559		666		11		
	21		881		313		213		342		3449		142		0		
	22		883		312		213		340		3367		0		0		
	23		885		311		213		335		3427		0		0		
	24		885		311		213		316		3553		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5253		1615		3225		9376		1903						
	2		5408		1615		2549		9104		1857						
	3		5548		1614		2020		8981		1795						
	4		5621		1615		1960		8734		1796						
	5		5459		1616		2141		8753		2027						
	6		5382		1615		2442		8950		2381						
	7		7016		1615		2442		7606		2679						
	8		11301		1615		2247		4639		1930						
	9		13916		1615		2137		2502		1617						
	10		14243		1613		2233		1950		1515						
	11		14208		1613		2239		2029		1291						
	12		14801		1612		1892		1717		1316						
	13		15003		1613		1906		1569		1350						
	14		15382		1612		1796		1444		1320						
	15		15867		1613		1746		1246		1329						
	16		15627		1615		1682		1861		1375						
	17		15407		1613		1734		2370		1736						
	18		14372		1614		2138		3834		2081						
	19		10136		1613		2890		7449		2730						
	20		5979		1614		4202		9711		4090						
	21		5339		1614		4882		10182		4250						
	22		5079		1614		4388		10368		3837						
	23		5135		1614		3694		10102		3249						
	24		5243		1614		3562		9591		2380						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
