County,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mariposa County,"14,412","14,862","15,242","15,439","15,553","15,652","15,836","15,559","15,786","15,605","17,101","17,099","17,243","17,707","17,844","17,972","18,219","18,366","18,412","18,212","18,277","18,170","17,881","17,809","17,714","17,622","17,456","17,414","17,405","17,203"
Mendocino County,"80,820","81,543","81,645","81,629","81,791","82,483","82,930","83,268","83,754","84,085","86,407","86,841","87,364","88,140","88,030","87,981","87,345","87,071","87,468","87,722","87,799","87,334","87,288","87,054","87,225","87,107","87,285","87,576","87,401","86,749"
Merced County,"179,812","185,381","188,184","191,195","195,205","192,175","190,991","193,893","197,261","200,746","212,258","218,816","225,351","231,735","237,180","242,554","245,338","248,540","250,538","252,302","256,721","259,297","260,867","262,026","264,419","266,353","267,628","271,096","274,151","277,680"
Modoc County,"9,668","9,693","9,775","9,590","9,682","9,578","9,642","9,603","9,338","9,210","9,406","9,350","9,362","9,501","9,605","9,565","9,617","9,525","9,551","9,646","9,694","9,509","9,351","9,145","9,068","9,056","8,961","8,876","8,800","8,841"
Mono County,"10,075","9,806","9,933","10,260","10,559","10,488","10,400","10,410","10,307","10,512","12,921","13,224","13,404","13,352","13,360","13,474","13,743","13,678","13,862","14,008","14,257","14,422","14,331","14,067","14,134","14,077","14,273","14,354","14,403","14,444"
Monterey County,"356,947","361,559","366,296","362,913","342,872","343,082","347,292","358,888","366,631","371,756","402,990","407,082","408,977","409,725","408,731","405,139","401,831","402,376","406,022","410,263","416,373","420,456","424,788","426,712","428,475","430,552","433,953","434,534","433,950","434,061"
Napa County,"111,215","111,897","113,631","114,034","114,956","115,320","116,387","117,944","119,540","120,962","124,565","126,818","128,744","130,138","130,387","130,381","131,440","132,583","134,093","135,280","136,759","137,691","138,538","139,580","140,405","140,862","140,840","139,878","138,789","137,744"
Nevada County,"79,185","81,419","83,131","84,221","85,644","87,105","88,579","89,981","91,114","92,014","92,520","93,715","94,647","95,606","96,512","97,250","97,549","97,794","98,200","98,591","98,790","98,701","98,137","97,938","98,572","98,676","98,913","99,367","99,508","99,755"
Orange County,"2,417,569","2,445,044","2,483,337","2,513,289","2,541,371","2,572,393","2,606,488","2,665,599","2,723,782","2,760,948","2,854,513","2,885,457","2,908,245","2,929,376","2,941,711","2,940,055","2,932,261","2,931,629","2,957,593","2,987,177","3,015,171","3,049,271","3,078,068","3,104,950","3,126,537","3,149,280","3,164,986","3,174,289","3,175,973","3,175,692"
Placer County,"175,421","181,342","186,799","192,007","198,429","205,963","213,335","220,477","229,216","239,485","251,012","263,615","276,907","290,726","302,841","312,762","321,934","329,023","337,568","343,810","350,021","356,328","360,263","365,398","369,217","372,841","378,943","385,115","392,330","398,329"
Plumas County,"19,811","20,095","20,612","20,745","20,540","20,518","20,414","20,429","20,362","20,370","20,754","20,820","20,866","20,957","21,000","21,010","20,762","20,667","20,410","20,169","19,914","19,719","19,377","18,895","18,622","18,427","18,665","18,660","18,741","18,807"
Riverside County,"1,193,639","1,248,277","1,290,328","1,321,304","1,354,966","1,383,646","1,406,769","1,439,674","1,480,708","1,530,653","1,558,985","1,616,634","1,687,147","1,771,656","1,856,542","1,931,785","2,012,370","2,075,183","2,109,712","2,146,725","2,201,576","2,234,070","2,261,204","2,286,755","2,316,162","2,345,816","2,380,081","2,414,964","2,445,789","2,470,546"
Sacramento County,"1,075,309","1,103,715","1,114,853","1,119,353","1,119,846","1,128,394","1,141,118","1,152,550","1,166,699","1,184,586","1,229,940","1,266,257","1,301,079","1,328,531","1,348,932","1,360,816","1,369,563","1,381,161","1,394,438","1,408,601","1,421,383","1,433,730","1,444,852","1,457,341","1,474,917","1,493,674","1,510,987","1,527,301","1,538,746","1,552,058"
San Benito County,"36,828","37,305","38,283","39,443","40,728","42,267","44,089","46,639","48,984","51,276","53,781","54,644","55,056","55,198","54,849","54,647","54,124","54,072","54,267","54,436","55,516","55,977","56,599","57,239","57,825","58,216","59,225","60,164","61,467","62,808"
San Bernardino County,"1,437,012","1,491,021","1,532,114","1,545,508","1,553,732","1,569,793","1,588,541","1,609,221","1,635,967","1,669,934","1,718,037","1,760,731","1,799,791","1,846,115","1,899,065","1,943,924","1,974,140","1,992,161","2,003,735","2,013,960","2,040,848","2,060,827","2,073,512","2,082,738","2,099,181","2,115,411","2,131,960","2,150,945","2,166,753","2,180,085"
San Diego County,"2,513,216","2,554,271","2,601,147","2,609,266","2,626,939","2,641,561","2,673,685","2,722,060","2,766,123","2,820,844","2,827,366","2,869,672","2,900,355","2,914,702","2,930,007","2,938,375","2,947,289","2,975,742","3,022,116","3,061,203","3,103,212","3,137,156","3,174,335","3,209,768","3,248,877","3,280,850","3,306,089","3,321,237","3,333,861","3,338,330"
San Francisco County,"722,749","725,237","727,291","729,746","729,051","730,628","735,228","740,993","745,756","746,777","777,885","780,865","772,723","766,160","761,325","763,016","768,650","778,673","791,152","801,922","805,505","815,650","828,876","839,572","850,750","863,010","871,512","878,040","880,696","881,549"
San Joaquin County,"484,360","494,221","503,293","509,810","516,797","523,653","531,560","539,997","549,684","563,183","567,885","591,207","609,041","626,778","642,898","656,985","662,812","668,080","671,692","677,736","687,127","694,354","699,593","702,046","711,579","722,271","732,809","743,296","752,491","762,148"
San Luis Obispo County,"218,117","219,091","220,353","221,030","223,264","225,664","228,546","231,426","234,074","236,953","247,839","251,462","253,083","254,674","256,842","258,615","260,498","262,770","266,358","268,145","269,802","271,058","274,160","275,696","278,227","280,077","281,803","282,481","283,354","283,111"
San Mateo County,"650,050","654,577","661,529","667,971","673,139","677,837","685,365","695,689","701,080","702,102","707,820","705,621","697,628","693,057","690,161","690,078","690,176","693,849","703,830","713,617","719,699","728,344","739,224","748,661","757,204","765,055","767,906","768,901","768,681","766,573"
Santa Barbara County,"370,420","374,051","376,523","378,009","381,528","381,289","382,215","386,789","389,472","391,071","399,990","403,164","405,178","406,810","407,284","408,079","408,085","411,243","415,859","420,356","424,231","425,453","429,699","434,601","439,045","442,229","444,340","445,298","445,780","446,499"
Santa Clara County,"1,497,644","1,508,020","1,523,971","1,539,465","1,550,060","1,566,760","1,593,625","1,621,660","1,641,848","1,647,419","1,684,947","1,688,082","1,669,348","1,663,592","1,663,167","1,675,312","1,691,159","1,712,026","1,740,964","1,765,137","1,786,040","1,812,054","1,837,853","1,866,425","1,891,753","1,916,285","1,928,368","1,932,510","1,932,337","1,927,852"
Santa Cruz County,"229,385","228,984","230,983","232,600","234,059","234,717","235,633","238,862","243,200","245,201","255,835","256,045","254,531","253,021","252,356","251,377","251,616","253,304","256,520","260,009","263,147","264,858","266,340","268,816","270,861","273,503","274,396","274,856","273,841","273,213"
Shasta County,"148,660","154,034","157,319","158,520","159,684","160,510","161,327","162,603","164,156","164,530","163,615","166,408","170,198","173,202","174,867","175,615","176,166","176,548","177,247","177,279","177,274","177,588","177,875","178,397","178,844","178,314","178,571","179,384","179,709","180,080"
Sierra County,"3,320","3,318","3,288","3,344","3,329","3,380","3,396","3,369","3,376","3,334","3,574","3,518","3,482","3,511","3,430","3,378","3,424","3,373","3,320","3,248","3,220","3,098","3,067","3,028","2,972","2,985","2,951","3,002","2,997","3,005"
Siskiyou County,"43,713","43,917","44,056","43,804","43,972","44,221","44,058","44,264","44,024","43,570","44,218","43,908","43,965","44,287","44,394","44,641","44,487","44,465","44,780","44,788","44,938","44,615","44,079","43,532","43,338","43,254","43,376","43,622","43,550","43,539"
Solano County,"343,460","354,889","359,849","364,148","365,383","364,191","366,408","371,063","376,748","385,723","396,974","404,209","408,226","408,409","409,301","408,181","408,402","408,243","408,972","410,290","413,967","416,342","419,674","423,659","429,006","433,409","438,858","443,511","445,725","447,643"
Sonoma County,"390,152","396,592","402,387","406,467","410,123","414,688","419,268","426,438","433,777","439,970","460,421","465,293","465,298","466,489","466,809","465,938","465,188","467,356","473,091","479,479","484,755","487,421","489,993","494,073","498,560","500,863","502,547","502,469","498,643","494,336"
Stanislaus County,"375,259","385,831","394,159","400,923","405,152","408,919","413,484","419,446","426,872","436,790","449,471","463,761","477,469","487,357","492,613","500,020","504,651","507,834","509,032","511,536","515,145","517,560","520,424","523,451","528,015","533,211","539,255","544,717","548,126","550,660"
Sutter County,"64,853","67,159","69,204","70,717","72,697","74,354","75,366","76,450","77,069","78,423","79,192","80,138","82,162","84,671","86,484","88,764","91,112","92,959","93,855","94,366","94,751","94,482","94,189","94,507","94,778","95,282","95,742","96,204","96,348","96,971"
Tehama County,"49,873","51,025","51,904","52,143","52,945","53,771","53,863","53,816","54,016","54,012","56,170","56,685","57,380","58,528","59,571","60,602","61,587","62,147","62,648","62,891","63,559","63,331","63,212","62,875","62,801","63,158","63,453","63,847","64,018","65,084"
Trinity County,"13,051","13,087","13,171","13,213","13,479","13,436","13,382","13,162","13,043","12,927","12,980","12,859","13,064","13,210","13,159","13,440","13,634","13,648","13,656","13,762","13,755","13,685","13,489","13,427","13,128","13,094","12,828","12,726","12,567","12,285"
Tulare County,"313,897","322,884","330,451","337,107","342,838","344,633","346,607","350,192","354,527","358,470","368,627","373,171","379,568","388,743","398,226","407,970","414,921","422,140","429,283","436,987","442,969","446,784","449,779","452,460","455,138","457,161","459,235","462,308","464,589","466,195"
Tuolumne County,"48,837","50,105","50,543","51,442","51,877","51,564","52,173","52,338","53,029","53,764","54,658","55,253","55,850","56,513","56,602","56,788","56,680","56,339","56,320","55,845","55,190","54,830","54,221","53,997","53,851","53,615","53,770","53,976","54,387","54,478"
Ventura County,"670,132","675,485","684,004","690,066","698,901","703,990","710,920","722,156","732,143","745,063","756,506","766,689","779,489","788,070","793,994","794,197","798,183","800,027","806,353","815,130","825,097","830,099","833,516","838,136","842,297","845,802","847,323","849,044","848,142","846,006"
Yolo County,"141,991","143,853","144,364","144,980","145,796","147,399","149,077","151,496","153,293","155,573","169,835","175,337","180,327","182,954","185,237","186,269","189,615","194,339","197,154","199,791","201,073","201,954","204,576","206,292","208,398","212,037","215,627","218,477","220,118","220,500"
Yuba County,"58,642","59,375","60,655","61,290","61,695","61,012","60,842","60,154","59,953","59,607","60,372","61,249","62,100","62,733","63,742","66,285","69,272","70,761","71,773","71,607","72,348","72,489","72,774","73,090","73,533","74,045","74,952","76,578","77,557","78,668"
